
############## bjorn - 07/26/20 08:33:33 EST -0500 ##############

2020-07-26 09:41:08 64 bytes from 8.8.8.8: icmp_seq=17 ttl=115 time=19.6 ms
2020-07-26 09:42:08 64 bytes from 8.8.8.8: icmp_seq=18 ttl=115 time=16.1 ms
2020-07-26 09:43:08 64 bytes from 8.8.8.8: icmp_seq=19 ttl=115 time=20.3 ms
2020-07-26 09:44:08 64 bytes from 8.8.8.8: icmp_seq=20 ttl=115 time=16.5 ms
2020-07-26 09:45:08 64 bytes from 8.8.8.8: icmp_seq=21 ttl=115 time=16.9 ms
2020-07-26 09:46:08 64 bytes from 8.8.8.8: icmp_seq=22 ttl=115 time=18.7 ms
2020-07-26 09:47:08 64 bytes from 8.8.8.8: icmp_seq=23 ttl=115 time=16.3 ms
2020-07-26 09:48:08 64 bytes from 8.8.8.8: icmp_seq=24 ttl=115 time=17.4 ms
2020-07-26 09:49:08 64 bytes from 8.8.8.8: icmp_seq=25 ttl=115 time=16.7 ms
2020-07-26 09:50:08 64 bytes from 8.8.8.8: icmp_seq=26 ttl=115 time=17.3 ms
2020-07-26 09:51:08 64 bytes from 8.8.8.8: icmp_seq=27 ttl=115 time=33.9 ms
2020-07-26 09:52:08 64 bytes from 8.8.8.8: icmp_seq=28 ttl=115 time=15.5 ms
2020-07-26 09:53:08 64 bytes from 8.8.8.8: icmp_seq=29 ttl=115 time=20.3 ms
2020-07-26 09:54:08 64 bytes from 8.8.8.8: icmp_seq=30 ttl=115 time=17.4 ms
2020-07-26 09:56:08 64 bytes from 8.8.8.8: icmp_seq=32 ttl=115 time=16.6 ms
2020-07-26 09:57:08 64 bytes from 8.8.8.8: icmp_seq=33 ttl=115 time=16.5 ms
2020-07-26 09:58:08 64 bytes from 8.8.8.8: icmp_seq=34 ttl=115 time=16.2 ms
2020-07-26 09:59:08 64 bytes from 8.8.8.8: icmp_seq=35 ttl=115 time=16.3 ms
2020-07-26 10:00:09 64 bytes from 8.8.8.8: icmp_seq=36 ttl=115 time=18.1 ms
2020-07-26 10:01:09 64 bytes from 8.8.8.8: icmp_seq=37 ttl=115 time=17.9 ms
2020-07-26 10:02:09 64 bytes from 8.8.8.8: icmp_seq=38 ttl=115 time=16.9 ms
2020-07-26 10:03:09 64 bytes from 8.8.8.8: icmp_seq=39 ttl=115 time=18.3 ms
2020-07-26 10:04:09 64 bytes from 8.8.8.8: icmp_seq=40 ttl=115 time=17.1 ms
2020-07-26 10:05:09 64 bytes from 8.8.8.8: icmp_seq=41 ttl=115 time=18.3 ms
2020-07-26 10:06:09 64 bytes from 8.8.8.8: icmp_seq=42 ttl=115 time=17.2 ms
2020-07-26 10:07:09 64 bytes from 8.8.8.8: icmp_seq=43 ttl=115 time=19.1 ms
2020-07-26 10:08:09 64 bytes from 8.8.8.8: icmp_seq=44 ttl=115 time=17.2 ms
2020-07-26 10:09:09 64 bytes from 8.8.8.8: icmp_seq=45 ttl=115 time=17.5 ms
2020-07-26 10:10:09 64 bytes from 8.8.8.8: icmp_seq=46 ttl=115 time=20.6 ms
2020-07-26 10:11:09 64 bytes from 8.8.8.8: icmp_seq=47 ttl=115 time=16.2 ms
2020-07-26 10:12:09 64 bytes from 8.8.8.8: icmp_seq=48 ttl=115 time=24.5 ms
