DataStream, TIMESTAMP_start, TIMESTAMP_end, parameter, colnumber, flag, flagcol, notes
BVR, 2021-07-12 17:00:00 EST, 2021-07-12 17:15:00 EST, EXODOsat, 27, 5, 71, DO cap was changed and DO sat increased. This is a note just flagging that
BVR, 2021-08-09 11:00:00 EST, 2021-08-09 11:20:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning
BVR, 2021-08-23 09:40:00 EST, 2021-08-23 10:40:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning
BVR, 2021-09-06 10:20:00 EST, 2021-09-06 10:50:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning and look if it was a calibration too
BVR, 2021-10-12 12:00:00 EST, 2021-10-12 12:40:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning
BVR, 2021-10-12 12:40:00 EST, 2021-10-12 21:40:00 EST, RDO_13, c(21:22), 1, c(63:64), No DO in reservoir but sensor is measuring it so take out values until they are 0
BVR, 2021-10-26 11:50:00 EST, 2021-10-26 12:20:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning changed RDO DO caps and took off antifouling guards
BVR, 2021-11-09 12:20:00 EST, 2021-11-09 12:40:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning and let out more cable for the EXO so depth changed
BVR, 2021-11-22 11:00:00 EST, 2021-11-22 11:20:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning
BVR, 2021-12-06 11:00:00 EST, 2021-12-06 11:20:00 EST, All_BVR, c(1:46), 1, c(47:86), sensor string up for cleaning
BVR, 2021-12-06 11:00:00 EST, 2022-01-26 15:10:00 EST, EXO*, c(24:44), 1, c(66:84), EXO returned for maintenance and calibration
