Reservoir,Site,DateTime,ThermistorTemp_C_1,ThermistorTemp_C_2,ThermistorTemp_C_3,ThermistorTemp_C_4,ThermistorTemp_C_5,ThermistorTemp_C_6,ThermistorTemp_C_7,ThermistorTemp_C_8,ThermistorTemp_C_9,ThermistorTemp_C_10,ThermistorTemp_C_11,ThermistorTemp_C_12,ThermistorTemp_C_13,RDO_mgL_6,RDOsat_percent_6,RDOTemp_C_6,RDO_mgL_13,RDOsat_percent_13,RDOTemp_C_13,EXOTemp_C_1.5,EXOCond_uScm_1.5,EXOSpCond_uScm_1.5,EXOTDS_mgL_1.5,EXODOsat_percent_1.5,EXODO_mgL_1.5,EXOChla_RFU_1.5,EXOChla_ugL_1.5,EXOBGAPC_RFU_1.5,EXOBGAPC_ugL_1.5,EXOfDOM_RFU_1.5,EXOfDOM_QSU_1.5,EXOTurbidity_FNU_1.5,EXOPressure_psi,EXODepth_m,EXOBattery_V,EXOCablepower_V,EXOWiper_V,LvlPressure_psi_13,Depth_m_13,LvlTemp_C_13,RECORD,CR6Battery_V,CR6Panel_Temp_C,Flag_ThermistorTemp_C_1,Flag_ThermistorTemp_C_2,Flag_ThermistorTemp_C_3,Flag_ThermistorTemp_C_4,Flag_ThermistorTemp_C_5,Flag_ThermistorTemp_C_6,Flag_ThermistorTemp_C_7,Flag_ThermistorTemp_C_8,Flag_ThermistorTemp_C_9,Flag_ThermistorTemp_C_10,Flag_ThermistorTemp_C_11,Flag_ThermistorTemp_C_12,Flag_ThermistorTemp_C_13,Flag_RDO_mgL_6,Flag_RDOsat_percent_6,Flag_RDOTemp_C_6,Flag_RDO_mgL_13,Flag_RDOsat_percent_13,Flag_RDOTemp_C_13,Flag_EXOTemp_C_1.5,Flag_EXOCond_uScm_1.5,Flag_EXOSpCond_uScm_1.5,Flag_EXOTDS_mgL_1.5,Flag_EXODOsat_percent_1.5,Flag_EXODO_mgL_1.5,Flag_EXOChla_RFU_1.5,Flag_EXOChla_ugL_1.5,Flag_EXOBGAPC_RFU_1.5,Flag_EXOBGAPC_ugL_1.5,Flag_EXOfDOM_RFU_1.5,Flag_EXOfDOM_QSU_1.5,Flag_EXOTurbidity_FNU_1.5,Flag_EXOPressure_psi,Flag_EXODepth_m,Flag_EXOBattery_V,Flag_EXOCablepower_V,Flag_EXOWiper_V,Flag_LvlPressure_psi_13,Flag_LvlTemp_C_13
BVR,50,2023-01-01 00:00:00,NA,NA,NA,NA,2.028284,2.248834,2.187646,2.346338,2.412683,2.610162,2.822381,3.005579,3.395013,13.21171,96.02709,2.188942,6.415643,48.10676,3.345993,2.276,19.03,33.63,21.86,96.33,13.22,1.92,5.46,2.99,1.99,4.95,14.74,5.97,3.1,2.186,4.04,11.23,1.18,12.64689,8.9103663495,3.412992,71233,12.77,14.06,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 00:10:00,NA,NA,NA,NA,2.046411,2.221063,2.197473,2.341241,2.405511,2.611444,2.832117,3.010675,3.376794,13.22957,96.15789,2.189301,6.578082,49.32287,3.344482,2.274,19.04,33.64,21.87,96.25,13.21,1.6,4.43,3.08,2.1,4.93,14.7,6.07,3.1,2.183,4.04,11.23,1.2,12.64733,8.9106763515,3.399166,71234,12.81,14.08,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 00:20:00,NA,NA,NA,NA,2.051172,2.245782,2.204156,2.33819,2.405969,2.60943,2.842187,3.022241,3.368066,13.19183,95.88214,2.188782,6.967774,52.21535,3.323372,2.277,19.31,34.12,22.18,95.96,13.17,1.32,3.51,2.88,1.87,5.03,14.99,5.8,3.1,2.185,4.04,11.23,1.13,12.65001,8.9125645455,3.388849,71235,12.77,14.05,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 00:30:00,NA,NA,NA,NA,2.050989,2.224969,2.212091,2.335474,2.406763,2.607233,2.843713,3.027673,3.365564,13.22936,96.15266,2.187912,7.005819,52.50045,3.323372,2.285,19.02,33.6,21.84,95.88,13.16,1.48,4.02,2.97,1.97,4.96,14.77,6.15,3.1,2.183,4.04,10.86,1.2,12.65122,8.913417051,3.387744,71236,12.64,14.16,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 00:40:00,NA,NA,NA,NA,2.060388,2.200006,2.210474,2.330682,2.409204,2.607904,2.832941,3.02453,3.378686,13.22706,96.13915,2.189102,7.049499,52.84129,3.332901,2.273,19.06,33.67,21.89,96.08,13.19,1.23,3.23,3.07,2.08,4.94,14.71,6.06,3.1,2.186,4.04,11.19,1.2,12.6489,8.911782495,3.402189,71237,12.76,14.43,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 00:50:00,NA,NA,NA,NA,2.068414,2.191888,2.197931,2.321802,2.389246,2.597925,2.828638,3.005304,3.408441,13.24442,96.26085,2.187393,6.600642,49.49487,3.34668,2.264,19.03,33.65,21.87,96.23,13.21,1.41,3.79,2.98,1.98,4.94,14.71,6.12,3.1,2.184,4.04,11.23,1.18,12.649,8.91185295,3.422747,71238,12.8,14.51,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 01:00:00,NA,NA,NA,NA,2.070398,2.211816,2.206018,2.323877,2.393945,2.603784,2.823267,2.998437,3.435876,13.21885,96.07354,2.186867,6.357921,47.70716,3.3722,2.274,19.32,34.13,22.19,96.25,13.21,1.7,4.74,3.13,2.14,5.06,15.08,5.85,3.1,2.185,4.04,11.25,1.12,12.64785,8.9110427175,3.445313,71239,12.81,14.54,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 01:10:00,NA,NA,NA,NA,2.059289,2.191217,2.191492,2.313776,2.390527,2.604517,2.81698,2.994165,3.436639,13.25394,96.32088,2.183922,6.205094,46.57735,3.385796,2.259,19.02,33.63,21.86,96.35,13.23,4.86,14.93,3.16,2.18,4.97,14.81,6.15,3.11,2.187,4.04,11.23,1.2,12.65267,8.9144386485,3.458021,71240,12.79,14.51,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 01:20:00,NA,NA,NA,NA,2.054193,2.180902,2.193719,2.310113,2.391595,2.622583,2.826196,3.013025,3.414789,13.26267,96.3743,2.180122,6.085519,45.69384,3.397362,2.253,19.29,34.12,22.17,96.3,13.23,6.14,19.07,3.08,2.09,5.05,15.03,6.1,3.11,2.186,4.04,11.21,1.11,12.65127,8.9134522785,3.453695,71241,12.8,14.43,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 01:30:00,NA,NA,NA,NA,2.059503,2.193262,2.198267,2.307275,2.386499,2.619592,2.819513,3.021814,3.399896,13.2762,96.46696,2.177872,6.036085,45.30832,3.385468,2.263,19.01,33.6,21.84,96.44,13.24,5.15,15.86,3.09,2.1,4.94,14.72,6.24,3.1,2.184,4.04,11.22,1.18,12.64882,8.911726131,3.436895,71242,12.8,14.33,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 01:40:00,NA,NA,NA,NA,2.057672,2.21145,2.215509,2.308923,2.391138,2.618524,2.821191,3.036249,3.364008,13.26397,96.36978,2.174759,6.122272,45.93797,3.371338,2.265,19.29,34.09,22.16,96.31,13.22,1.2,3.14,2.99,2,5.01,14.93,6.05,3.1,2.185,4.04,11.22,1.11,12.65047,8.9128886385,3.415377,71243,12.79,14.2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 01:50:00,NA,NA,NA,NA,2.064264,2.219049,2.200738,2.309564,2.388666,2.609338,2.81991,3.04162,3.353021,13.2504,96.26879,2.173882,6.537731,49.0227,3.346344,2.272,19,33.57,21.82,96.44,13.24,2.29,6.63,3.07,2.08,4.96,14.79,6.17,3.1,2.185,4.04,11.22,1.18,12.65098,8.913247959,3.39842,71244,12.75,14.02,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 02:00:00,NA,NA,NA,NA,2.055475,2.207452,2.205194,2.30755,2.392938,2.61889,2.839563,3.043787,3.332544,13.25891,96.30631,2.164558,6.8605,51.44492,3.347717,2.265,19,33.58,21.83,96.48,13.25,1.37,3.66,3.06,2.06,4.95,14.76,6.17,3.11,2.187,4.04,11.22,1.19,12.65195,8.9139313725,3.401776,71245,12.8,13.86,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 02:10:00,NA,NA,NA,NA,2.074914,2.183801,2.196985,2.30224,2.38775,2.613885,2.85293,3.041101,3.329309,13.26425,96.34182,2.163338,7.281118,54.59784,3.347031,2.25,18.99,33.58,21.83,96.51,13.26,2.36,6.86,3.11,2.12,4.95,14.75,6.18,3.11,2.187,4.04,11.22,1.18,12.65085,8.9131563675,3.400471,71246,12.8,13.85,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 02:20:00,NA,NA,NA,NA,2.070062,2.195001,2.203149,2.302118,2.399927,2.61831,2.869745,3.038934,3.41018,13.25761,96.2936,2.163338,7.5556,56.6543,3.345833,2.262,18.99,33.58,21.83,96.58,13.26,1.48,4.02,3.09,2.11,4.95,14.75,6.19,3.11,2.191,4.04,11.21,1.18,12.65054,8.912937957,3.401043,71247,12.78,13.84,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 02:30:00,NA,NA,NA,NA,2.002893,2.182458,2.190637,2.298059,2.399744,2.606927,2.880243,3.043878,3.41778,13.26417,96.3413,2.163338,7.235705,54.32227,3.391914,2.248,18.97,33.55,21.81,96.61,13.27,2.32,6.76,3.14,2.15,4.94,14.72,6.03,3.12,2.195,4.04,11.21,1.18,12.65327,8.9148613785,3.457393,71248,12.8,13.84,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 02:40:00,NA,NA,NA,NA,2.043176,2.147729,2.158746,2.286523,2.402154,2.624322,2.886438,3.04104,3.41842,13.24944,96.23338,2.162994,6.962976,52.26758,3.386826,2.25,18.97,33.54,21.8,96.54,13.26,NA,NA,3.16,2.18,4.94,14.73,6.48,3.12,2.195,4.04,11.23,1.18,12.65041,8.9128463655,3.441711,71249,12.81,13.91,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 02:50:00,NA,NA,NA,NA,2.025812,2.171167,2.194757,2.300317,2.410486,2.635614,2.883874,3.038141,3.488,13.24968,96.2393,2.164558,6.680091,50.15826,3.397362,2.259,19.25,34.03,22.12,96.51,13.25,2.02,5.78,3.07,2.08,5.09,15.18,5.86,3.12,2.195,4.04,11.21,1.09,12.64882,8.911726131,3.472232,71250,12.79,14.03,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 03:00:00,NA,NA,NA,NA,1.987421,2.144403,2.149621,2.293695,2.384851,2.61239,2.871728,3.035577,3.538354,13.18426,95.76087,2.163338,6.072048,45.62322,3.422516,2.248,19.21,33.98,22.08,96.21,13.22,2.04,5.83,3.07,2.08,5.09,15.16,5.98,3.12,2.196,4.04,11.21,1.08,12.64906,8.911895223,3.527281,71251,12.76,14.11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 03:10:00,NA,NA,NA,NA,2.05932,2.182611,2.157892,2.295038,2.372674,2.615503,2.877466,3.030725,3.526544,13.1772,95.70764,2.162643,5.720261,43.00875,3.447662,2.255,19.22,33.99,22.09,95.82,13.16,1.37,3.68,2.95,1.94,5.07,15.12,6.13,3.12,2.195,4.04,11.21,1.13,12.65226,8.914149783,3.538348,71252,12.79,14.14,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 03:20:00,NA,NA,NA,NA,1.968408,2.196741,2.138849,2.226434,2.359521,2.675012,2.89602,3.030786,3.517602,13.17638,95.76635,2.187393,5.809081,43.73755,3.500122,2.278,18.95,33.48,21.76,95.56,13.11,1.36,3.63,2.96,1.96,4.91,14.63,6.15,3.12,2.197,4.04,11.2,1.19,12.65127,8.9134522785,3.566952,71253,12.8,14.11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 03:30:00,NA,NA,NA,NA,1.92901,2.182458,2.140466,2.181695,2.365259,2.680261,2.896478,3.024591,3.54284,13.20855,96.00193,2.18808,5.520996,41.57016,3.50164,2.277,18.98,33.53,21.8,96.16,13.2,1.6,4.43,3.04,2.04,4.89,14.57,6.05,3.12,2.196,4.04,11.21,1.18,12.65143,8.9135650065,3.573744,71254,12.72,14.04,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 03:40:00,NA,NA,NA,NA,1.962335,2.159479,2.169427,2.311151,2.397027,2.672662,2.904321,3.023859,3.525323,13.18556,95.8397,2.18998,5.621001,42.32487,3.503174,2.284,18.95,33.47,21.75,95.72,13.14,1.54,4.23,3.02,2.03,4.92,14.64,6.11,3.12,2.198,4.04,11.21,1.19,12.65063,8.9130013665,3.576993,71255,12.8,14.01,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 03:50:00,NA,NA,NA,NA,1.900964,2.163812,2.173822,2.254083,2.353998,2.616479,2.885522,3.012567,3.540491,13.19492,95.90466,2.188782,5.611909,42.26173,3.507935,2.297,19.02,33.58,21.83,95.97,13.17,1.9,5.38,3.01,2.01,4.89,14.58,6.23,3.12,2.197,4.04,11.2,1.18,12.65237,8.9142272835,3.563692,71256,12.79,13.98,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 04:00:00,NA,NA,NA,NA,1.860895,2.158807,2.162561,2.24978,2.362543,2.654382,2.879449,3.017419,3.517084,13.2214,96.03791,2.166107,5.600039,42.18149,3.516075,2.292,18.98,33.51,21.78,95.96,13.17,1.23,3.22,3,2,4.89,14.58,6.31,3.12,2.194,4.04,11.21,1.18,12.65116,8.913374778,3.542208,71257,12.75,13.92,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 04:10:00,NA,NA,NA,NA,1.885584,2.162317,2.161951,2.291101,2.347894,2.615808,2.888299,3.02746,3.596918,13.1837,95.77616,2.170784,5.284641,39.84168,3.549995,2.269,18.92,33.44,21.73,95.86,13.16,2.16,6.23,3.03,2.04,4.9,14.6,6.12,3.12,2.195,4.04,11.21,1.18,12.65291,8.9146077405,3.624692,71258,12.79,13.84,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 04:20:00,NA,NA,NA,NA,1.943567,2.172632,2.14306,2.290735,2.339136,2.599267,2.889032,3.02456,3.531244,13.19988,95.9119,2.177711,5.393155,40.60522,3.499428,2.273,18.96,33.51,21.78,95.89,13.16,1.75,4.89,3.01,2.01,4.91,14.64,6.15,3.12,2.195,4.04,11.21,1.17,12.6513,8.913473415,3.529049,71259,12.72,13.74,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 04:30:00,NA,NA,NA,NA,1.831476,2.173608,2.151056,2.297906,2.331964,2.65188,2.902246,3.019464,3.476587,13.17253,95.67644,2.163681,5.647977,42.52333,3.4991,2.255,18.89,33.41,21.71,96,13.18,1.86,5.26,3.06,2.07,4.91,14.62,6.12,3.11,2.193,4.04,11.2,1.18,12.65361,8.9151009255,3.54202,71260,12.73,13.7,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 04:40:00,NA,NA,NA,NA,1.798944,2.156274,2.119379,2.3005,2.333673,2.628107,2.897577,3.015954,3.433069,13.18811,95.78742,2.162819,6.02109,45.29284,3.466156,2.238,18.92,33.47,21.75,95.85,13.17,1.23,3.23,3.08,2.09,4.94,14.71,6.07,3.11,2.192,4.04,11.2,1.19,12.6529,8.914600695,3.487281,71261,12.78,13.61,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 04:50:00,NA,NA,NA,NA,1.790796,2.161615,2.127313,2.306238,2.331506,2.609125,2.893487,3.021142,3.394372,13.17682,95.70759,2.163681,6.810106,51.13567,3.398216,2.247,19.18,33.92,22.05,95.68,13.14,2.98,8.86,2.95,1.95,4.99,14.86,5.89,3.11,2.192,4.04,11.2,1.13,12.65312,8.914755696,3.411992,71262,12.72,13.44,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 05:00:00,NA,NA,NA,NA,1.837732,2.139123,2.127618,2.302392,2.314142,2.599206,2.894342,3.018457,3.396631,13.19064,95.75436,2.143089,7.169045,53.81209,3.385124,2.246,18.91,33.45,21.74,95.87,13.17,1.75,4.9,3.08,2.09,4.89,14.58,6.18,3.12,2.194,4.04,11.19,1.18,12.65351,8.9150304705,3.401989,71263,12.72,13.27,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 05:10:00,NA,NA,NA,NA,1.857019,2.146661,2.123865,2.301477,2.312494,2.581689,2.898645,3.025812,3.414636,13.19688,95.78384,2.137024,7.246487,54.37243,3.370666,2.219,18.86,33.39,21.7,96.08,13.21,2.59,7.62,3.05,2.06,4.99,14.87,6.12,3.12,2.199,4.04,11.21,1.19,12.65196,8.913938418,3.421534,71264,12.79,13.18,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 05:20:00,NA,NA,NA,NA,1.857935,2.152765,2.138605,2.30105,2.296014,2.56756,2.89364,3.022516,3.425989,13.19138,95.74614,2.137894,7.139257,53.56785,3.370666,2.228,18.88,33.41,21.72,96.05,13.2,2.35,6.85,3.08,2.09,4.95,14.74,6.46,3.12,2.198,4.04,11.2,1.19,12.65195,8.9139313725,3.416549,71265,12.79,13.14,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 05:30:00,NA,NA,NA,NA,1.769739,2.171411,2.14483,2.296991,2.295038,2.573755,2.901483,3.024408,3.448602,13.19265,95.75984,2.139618,6.962175,52.3099,3.421501,2.237,18.89,33.42,21.72,95.98,13.19,1.3,3.46,3.06,2.07,4.99,14.88,6.08,3.13,2.201,4.04,11.2,1.18,12.64999,8.9125504545,3.481105,71266,12.79,13.07,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 05:40:00,NA,NA,NA,NA,1.747339,2.18255,2.1354,2.278253,2.290399,2.585687,2.902399,3.03753,3.377924,13.17649,95.63658,2.137367,7.180696,53.9161,3.396675,2.23,18.9,33.45,21.74,96.02,13.2,1.31,3.48,3.03,2.03,4.91,14.63,6.16,3.12,2.2,4.04,11.21,1.19,12.6503,8.912768865,3.426106,71267,12.73,12.94,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 05:50:00,NA,NA,NA,NA,1.767358,2.18844,2.131402,2.274499,2.291559,2.55755,2.826044,3.017663,3.507348,13.17532,95.64353,2.143265,7.257244,54.4793,3.388687,2.255,18.95,33.51,21.78,96.08,13.2,1.05,2.63,3.12,2.13,4.94,14.73,6.18,3.12,2.197,4.04,11.19,1.18,12.65182,8.913839781,3.512565,71268,12.73,12.8,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 06:00:00,NA,NA,NA,NA,1.77038,2.177576,2.129968,2.268884,2.301263,2.546716,2.845605,3.02038,3.50329,13.16976,95.60502,2.143936,5.865326,44.11459,3.460564,2.241,18.89,33.42,21.73,95.9,13.18,1.35,3.61,3.07,2.08,4.93,14.7,6.11,3.13,2.202,4.04,11.19,1.2,12.65127,8.9134522785,3.555576,71269,12.79,12.51,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 06:10:00,NA,NA,NA,NA,1.80874,2.196039,2.125116,2.255243,2.304285,2.584924,2.883661,3.037805,3.485864,13.16542,95.61317,2.15918,5.962327,44.82776,3.4468,2.249,19.19,33.94,22.06,95.83,13.16,1.49,4.07,3.04,2.04,5.16,15.37,5.99,3.12,2.2,4.04,11.18,1.12,12.65096,8.913233868,3.52483,71270,12.78,12.24,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 06:20:00,NA,NA,NA,NA,1.770654,2.22088,2.123529,2.228357,2.298761,2.609125,2.904077,3.039606,3.46029,13.16629,95.62944,2.162994,5.741601,43.20992,3.483147,2.266,18.99,33.56,21.81,96.03,13.19,2.32,6.74,3.12,2.13,4.96,14.78,6.3,3.13,2.205,4.04,11.19,1.18,12.65169,8.9137481895,3.528674,71271,12.78,12.03,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 06:30:00,NA,NA,NA,NA,1.725763,2.233026,2.125299,2.206293,2.293725,2.637506,2.932519,3.060815,3.434167,13.19573,95.85012,2.165588,5.86802,44.16657,3.487564,2.264,18.97,33.53,21.8,96.12,13.2,1.66,4.63,3.08,2.09,4.94,14.72,6.13,3.14,2.208,4.04,11.19,1.2,12.65269,8.9144527395,3.52258,71272,12.76,11.79,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 06:40:00,NA,NA,NA,NA,1.716028,2.240167,2.122919,2.185174,2.291925,2.605676,2.93374,3.046442,3.405511,13.19919,95.89194,2.171989,6.169147,46.38594,3.449364,2.264,18.99,33.57,21.82,96.17,13.2,1.35,3.6,3.14,2.16,4.93,14.68,6.31,3.14,2.209,4.04,11.19,1.18,12.65219,8.9141004645,3.482575,71273,12.76,11.5,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 06:50:00,NA,NA,NA,NA,1.725824,2.229394,2.120019,2.170618,2.295312,2.573968,2.932794,3.022638,3.584894,13.17699,95.73324,2.173019,5.445813,41.04384,3.538132,2.255,18.93,33.47,21.76,96.11,13.2,2.01,5.73,3.11,2.12,4.92,14.66,6.2,3.14,2.209,4.04,11.19,1.21,12.65197,8.9139454635,3.641949,71274,12.74,11.37,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 07:00:00,NA,NA,NA,NA,1.760095,2.217554,2.116296,2.166315,2.298578,2.660974,2.937982,3.035211,3.641199,13.20462,95.91723,2.166618,4.603541,34.73783,3.58374,2.239,19.2,33.96,22.08,96.25,13.23,1.33,3.56,2.99,1.99,5.01,14.93,5.92,3.14,2.209,4.04,11.26,1.12,12.6527,8.914459785,3.68395,71275,12.76,11.39,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 07:10:00,NA,NA,NA,NA,1.815241,2.204675,2.103479,2.172296,2.294885,2.68493,2.936151,3.051172,3.62594,13.28533,96.49459,2.16317,5.100686,38.51463,3.608658,2.24,18.96,33.53,21.8,96.42,13.25,1.88,5.34,3.1,2.12,4.95,14.76,6.11,3.14,2.212,4.04,11.2,1.19,12.65314,8.914769787,3.663384,71276,12.75,11.34,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2023-01-01 07:20:00,NA,NA,NA,NA,1.804865,2.204736,2.121698,2.175439,2.327753,2.710443,2.948755,3.057611,3.570917,13.25138,96.24908,2.163681,5.708063,43.06481,3.577133,2.247,18.98,33.57,21.82,96.25,13.22,3.44,10.35,3.12,2.13,4.94,14.71,6.08,3.15,2.214,4.04,11.19,1.19,12.65302,8.914685241,3.60745,71277,12.76,11.34,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
